% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=331572, Wed Apr  6 15:18:25 2022
1 12 0.9232463005571399 1.00004687609865 1.0 1.0 1.0000031250048829 1.0000062500195313 1.0000093750439456 1.0000125000781253 1.0000156251220709 1.0000187501757822 1.0000218752392596 1.0000250003125026 1.0000281253955117 1.0000312504882864 1.000034375590827 1.0000375007031337 1.0000406258252066 1.0000437509570452 1.00004687609865
2 24 0.9114373586563449 1.0432440799150442 0.9303051931099247 0.9303051931099247 0.9641580242374207 0.9808196948269576 0.9846080892257143 0.9967576413404465 0.999328504302929 1.000012732888547 1.000018588730303 1.000023819065185 1.0000311232081247 1.0004288522959315 1.003095712185954 1.0078002081500097 1.0131110952351878 1.0336326278408934 1.0432440799150442
3 36 0.9348538208873047 1.0992578875076708 0.9213318491459542 0.9213318491459542 0.9483775788630283 0.9635805996036938 0.9659259146046068 0.9787535634854924 0.9896561463800453 0.9904720806811337 0.996832924371507 0.9989956810998042 1.0028295653395094 1.0058107269951424 1.0106004469935461 1.0145306647382446 1.0238092061450068 1.035841382396725 1.0992578875076708
4 48 0.9281227125521164 1.1368158278784384 0.9148498199114076 0.9148498199114076 0.9349739399141818 0.952316209883756 0.956434184289636 0.9681906645274702 0.9773903863363922 0.9827769529198322 0.9859988387198056 0.9949573947654721 1.0007336163270788 1.0048477323765401 1.0104576877442533 1.0139204146635177 1.049673305676347 1.0601841424315692 1.1368158278784384
5 60 0.9437762350014381 1.154765367997708 0.8982983647853238 0.8982983647853238 0.9307354286154375 0.9414609035634198 0.953101233128144 0.9665838982953492 0.9729318145512635 0.9744661075851386 0.9900986983444962 0.9910287995560704 0.9993854808438604 1.0050637587191669 1.0084891682694177 1.0193503893900553 1.0530272786629402 1.0695608702424801 1.154765367997708
6 72 0.9933726973249709 1.1877652755952954 0.8942167008757379 0.8942167008757379 0.9216220102144176 0.9429652995422643 0.9469495521704971 0.9586670346674693 0.9639025044162373 0.9764966646845633 0.9789660184503097 0.9900327713210418 0.9992398096713861 1.0039755526278096 1.016106681270987 1.0267111963905153 1.0510104008416037 1.0610483105338357 1.1877652755952954
7 84 1.025327653174494 1.2186873749504807 0.894575693503635 0.894575693503635 0.909728064866223 0.9259103028624722 0.9403138434670864 0.9508952668841821 0.9617759378258823 0.9699571830142182 0.9730429362767954 0.9886984035924298 0.9961856967398404 1.013132873509147 1.025294805999654 1.0430808855156573 1.0433071959026943 1.0811467773458159 1.2186873749504807
8 96 1.0124217872464463 1.2555897383739356 0.8901458824764121 0.8901458824764121 0.8928873932156348 0.9093293071784834 0.9296295961791309 0.9460278431053633 0.9588757010544685 0.9644319898266139 0.982054478709022 0.9858514285996494 0.9947384918439462 1.0070206846172638 1.034696312656011 1.0422725749498414 1.0525863599190204 1.0818638724560563 1.2555897383739356
9 108 1.0237821438808095 1.2790230228078054 0.872377008883477 0.872377008883477 0.888465686115203 0.900405138830726 0.9183075050438413 0.9308665119711608 0.943744837537925 0.9645277385592637 0.9792589570439437 0.9829215699109439 0.993912761271512 1.005200899910049 1.0381525473062172 1.0498544049236087 1.0704738629053028 1.101257701197091 1.2790230228078054
10 120 1.0458083338261817 1.3108931135774957 0.8619934487739572 0.8619934487739572 0.8848511990707093 0.8980636177523638 0.905081069324419 0.9285154349510201 0.9392354153825677 0.961915693966961 0.9653964603773213 0.9778119412910875 0.9946366082854543 1.003204704584229 1.0354672065390673 1.0538251226989164 1.0745191453801595 1.1114995734295259 1.3108931135774957
11 132 1.0707083060623321 1.3337705277047405 0.8458252980255241 0.8458252980255241 0.8700681210491353 0.8851294144022835 0.9058374126597813 0.9280844210756519 0.9431179724906175 0.955508275699511 0.9742922570955939 0.9836872311807873 0.99583676934871 1.010489170652942 1.0371932399252501 1.0539058081369153 1.0744744830293296 1.1189078931219298 1.3337705277047405
12 144 1.077960360544479 1.3655780237600947 0.8230105770669746 0.8230105770669746 0.8514006827618825 0.8801715390775644 0.8982068379469587 0.9133238262395559 0.9459185418103437 0.9529669495313877 0.970523667471255 0.978660446256836 1.0091325625341276 1.0143783491736718 1.036708776885701 1.0580286144643367 1.0745658291134732 1.1181622619011362 1.3655780237600947
13 156 1.0577562351124445 1.3716805332826352 0.8188891125323177 0.8188891125323177 0.8511270604097597 0.8627511771188782 0.891962013895124 0.90249380803613 0.9382951830913631 0.9540292304740013 0.966344972725903 0.9825378465324281 1.0079451836026243 1.0285461887656069 1.0469246615330923 1.0573455356542585 1.0751130950177004 1.1203518836798374 1.3716805332826352
14 168 0.9882301800790722 1.3797984463741166 0.8134596461597442 0.8134596461597442 0.8500738692687945 0.8511900935565175 0.8790890826178737 0.9057058500069415 0.925299814485803 0.938864847535264 0.9759321281144786 0.98058562344538 1.0077158092003793 1.0256016273579547 1.0356410591416367 1.069397154868791 1.082354481199852 1.1156539824757175 1.3797984463741166
15 180 0.9613562426917202 1.3887007903653696 0.7983764196229358 0.7983764196229358 0.8404015075762986 0.8423526678672127 0.8755523170314511 0.8992996557808354 0.9361814979096039 0.9416063083899715 0.9699070202382333 0.976297014247669 1.0014114867986323 1.0186269174150957 1.0346859624206086 1.0703843764391499 1.0884200355146643 1.1081874612777924 1.3887007903653696
